Transformer_ID,Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index,Health_Category,Thermal_Stress_Score,Oil_degradation_score,TDCG,Water_BDV_Ratio
TX_1,2845,5860,27842,7406,32,1344,16684,5467,7,19,1,45,55,0,30,Poor,29557,0.16933749070312948,32441,0
TX_2,12886,61,25041,877,83,864,4,305,0,45,1,45,55,0,30,Poor,1186,0.1922449796899136,14155,0
TX_3,2820,16400,56300,144,257,1080,206,11,2190,1,1,39,52,11,30,Poor,361,0.21133365112295568,5628,0.21153845747041428
TX_4,1099,70,37520,545,184,1402,6,230,0,87,4.58,33,49,5,58.4,Fair,781,0.33616863914745276,2064,0.10204081424406503
TX_5,3210,3570,47900,160,360,2130,4,43,4,1,0.77,44,55,3,60,Fair,207,0.16168385910689964,3781,0.05454545355371903
TX_6,13500,343,36500,3150,113,984,5,1230,1,1,4.93,37,52,6,30,Poor,4385,0.22772532578900478,17999,0.11538461316568052
TX_7,10200,11900,33700,573,87,611,0,162,0,1,3.53,45,55,5,30,Poor,735,0.16586023397352473,11022,0.09090908925619838
TX_8,3,15459,41347,5,68,902,12,2,13,5,0.58,41,71,6,93.3,Excellent,19,0.11796729618689916,103,0.08450704106328112
TX_9,16,2470,59600,8,520,2660,5,8,2,164,0.29,44,56,4,87.5,Good,21,0.3009100515781709,559,0.07142857015306125
TX_10,488,11861,48353,13,85,1957,29,23,0,164,0.27,37,72,10,91.5,Excellent,65,0.2796349686896281,638,0.13888888695987658
TX_11,4,26100,60600,1,206,1440,13,0,13,5,1.32,40,56,4,88.8,Good,14,0.1858602993107047,237,0.07142857015306125
TX_12,4,21800,46200,0,75,655,3,0,11,0,0.65,42,53,5,91.8,Excellent,3,0.18210494567267652,93,0.0943396208615166
TX_13,254,592,60300,14,376,2500,5,9,0,205,0.44,42,42,6,83.9,Good,28,0.40907375258955314,658,0.1428571394557824
TX_14,23349,2475,28011,5045,156,48,5588,3532,2951,0,1,52,70,2,30,Poor,14165,0.05339430605824049,40621,0.028571428163265314
TX_15,9040,1870,47500,1790,183,2060,7820,638,1450,0,1,42,55,18,30,Poor,10248,0.18893620041161027,20921,0.32727272132231416
TX_16,13200,1120,32800,2650,156,2240,16400,1610,1510,0,1,45,58,22,30,Poor,20660,0.16414111844439713,35526,0.3793103382877528
TX_17,6620,5250,51900,2240,190,1870,13100,1400,1660,0,1,42,54,21,30,Poor,16740,0.1963815556028671,25210,0.38888888168724295
TX_18,8710,4530,42800,658,437,1780,1260,97,9740,1,1,45,55,1,30,Poor,2015,0.15457135604098843,20902,0.018181817851239675
TX_19,5810,11900,51400,471,354,1470,798,44,3990,1,1,44,50,16,30,Poor,1313,0.1973536875528282,11467,0.31999999360000014
TX_20,757,289,57400,1700,1730,24900,2280,755,12,0,42.1,24,51,77,30,Poor,4735,0.4824555800828449,7234,1.5098038919646297
TX_21,590,23200,63900,949,209,51,828,168,582,0,1,45,55,4,60,Fair,1945,0.15696898729685616,3326,0.0727272714049587
TX_22,1310,2690,51900,1010,119,2220,2520,376,17,0,0.25,45,29,34,30,Poor,3906,0.2960386248781417,5352,1.1724137526753877
TX_23,122,294,73100,50,372,2180,69,31,0,168,1.27,42,35,19,79.7,Good,150,0.42211826022444326,644,0.5428571273469392
TX_24,106,581,75200,47,760,4070,11,30,0,183,0.16,43,29,5,68.5,Fair,88,0.4364431573746721,954,0.17241378715814526
TX_25,95,1760,80800,72,488,3050,10,36,0,176,0.29,44,55,12,88.8,Good,118,0.3243925748684143,701,0.21818181421487612
TX_26,87,362,76100,47,560,3920,5,31,0,184,0.23,43,52,4,80,Good,83,0.3405893726950065,730,0.07692307544378701
TX_27,79,699,75700,72,508,3810,83,42,0,136,1.24,34,48,5,74.8,Good,197,0.3688196357150966,784,0.10416666449652782
TX_28,2183,192,43380,1061,183,5730,1308,646,2,0,1,42,28,31,30,Poor,3015,0.31564385068483436,5383,1.1071428176020421
TX_29,76,324,71700,45,904,5220,10,27,0,227,0.45,45,45,8,74.4,Good,82,0.40150347926448016,1062,0.1777777738271606
TX_30,14,17600,44300,0,161,2010,22,0,0,0,1.16,37,49,16,93.2,Excellent,22,0.2399656431192238,197,0.32653060558100805
TX_31,14,2750,29500,12,54,5190,0,0,0,5,0.19,43,55,3,92.7,Excellent,12,0.16917786109893082,80,0.05454545355371903
TX_32,40,2350,65000,8,538,2480,9,0,1,0,1,35,56,62,93.2,Excellent,17,0.27174585432782156,596,1.1071428373724495
TX_33,5,9400,37100,4,496,2720,3,0,1,0,1,35,56,51,90.7,Excellent,7,0.25972399640432425,509,0.9107142694515309
TX_34,7,12300,32200,0,302,3640,3,0,1,0,1,35,55,36,94,Excellent,3,0.24749722044804012,313,0.6545454426446283
TX_35,2390,9050,44300,163,546,2660,3,53,0,0,1.71,46,54,12,60,Fair,219,0.16626448448493317,3155,0.22222221810699597
TX_36,12880,1571,36351,827,184,2267,4,320,0,1,1,46,54,12,30,Poor,1151,0.16520432507559685,14215,0.22222221810699597
TX_37,10700,13100,32700,625,79,660,0,190,1,1,4.45,42,44,4,30,Poor,815,0.229782717156146,11595,0.09090908884297526
TX_38,921,22000,43400,42,132,542,75,3,713,0,0.48,45,56,13,80,Good,120,0.16121665004538172,1886,0.23214285299744905
TX_39,9350,229,53000,188,451,2720,228,28,0,0,71.75,30,55,5,30,Poor,444,0.4348333576116147,10245,0.09090908925619838
TX_40,6200,291,59400,218,492,10600,103,39,0,0,67.67,30,54,10,30,Poor,360,0.43330934452375347,7052,0.18518518175583
TX_41,3060,257,69500,190,403,8930,68,47,0,0,73.2,29,56,14,54.3,Fair,305,0.45002276867030966,3768,0.24999999553571436
TX_42,7907,3564,24991,467,96,1765,2,249,0,0,1,29,56,14,30,Poor,718,0.2526201712677123,8721,0.24999999553571436
TX_43,5030,7140,54300,179,38,260,0,21,0,0,1.9,29,49,15,30,Poor,200,0.28534043130678166,5268,0.3061224427321951
TX_44,322,669,56400,181,614,466,170,15,173,0,0.63,45,51,2,78.8,Good,366,0.17043824165480764,1475,0.0392156855055748
TX_45,152,21400,49300,254,64,1510,2250,908,4830,0,1,43,51,5,30,Poor,3412,0.1858396612494973,8458,0.09803921376393698
TX_46,211,249900,62600,148,118,2300,751,103,3030,0,1,45,41,9,60,Fair,1002,0.22076680150450642,4361,0.21951218976799539
TX_47,277,21500,46100,142,93,2090,802,59,3840,0,1,45,50,5,30,Poor,1003,0.17889521680505288,5213,0.09999999800000005
TX_48,253,17300,43700,135,82,1870,57,734,3330,0,1,44,50,4,60,Fair,926,0.1833578761857451,4591,0.07999999840000004
TX_49,216,24300,48500,93,94,1890,578,36,2830,0,1,42,54,7,60,Fair,707,0.18108100915477965,3847,0.12962962722908097
TX_50,135,5091,48792,33,568,1301,3,5,0,1,0.12,47,66,3,80,Good,41,0.09740668890867678,744,0.04545454476584023
TX_51,0,219,56900,4,20,507,30,49,67,0,4.4,47,50,3,85.8,Good,83,0.174894280534919,170,0.05999999880000003
TX_52,38,3127,16464,11,177,727,28,3,19,0,1,47,75,38,91.3,Excellent,42,0.09968301279776688,276,0.5066666599111113
TX_53,36,2950,63300,101,525,4080,193,35,0,127,0.37,40,53,6,79,Good,329,0.30543767584716985,890,0.11320754503381991
TX_54,30,316,54100,161,309,2710,248,28,0,20,0.57,40,55,4,80,Good,437,0.20119224401025892,776,0.0727272714049587
TX_55,52,387,68400,37,936,6130,8,21,0,138,0.82,44,56,4,76.7,Good,66,0.2794516398299377,1054,0.07142857015306125
TX_56,30,413,19600,39,140,2690,17,48,0,158,0.15,46,56,7,90.2,Excellent,104,0.2874085102596979,274,0.12499999776785718
TX_57,24,455,21700,41,186,2790,10,65,0,162,0.17,44,52,3,90.2,Excellent,116,0.3143936145728573,326,0.05769230658284026
TX_58,21,425,33000,32,217,3030,9,47,0,160,0.13,42,53,4,90.2,Excellent,88,0.3205594763348296,326,0.07547169668921327
TX_59,59,645,56000,20,267,2300,9,15,0,136,0.21,42,52,4,92.7,Excellent,44,0.30379949719193833,370,0.07692307544378701
TX_60,104,1450,76500,37,357,3220,11,11,0,2,0.32,45,54,8,93.3,Excellent,59,0.1654101597622805,520,0.14814814540466398
TX_61,3,19700,67600,0,108,1480,10,0,0,17,1,43,53,28,97.5,Excellent,10,0.21762091350630386,121,0.5283018768244929
TX_62,40,24800,53300,9,84,919,17,12,0,88,1.68,39,51,4,89.7,Excellent,38,0.28636122038257406,162,0.0784313710111496
TX_63,35,1920,73500,6,202,1310,20,0,0,92.6,0.48,40,49,8,90.4,Excellent,26,0.2942825166992097,263,0.16326530279050402
TX_64,3,1900,81300,37,234,2800,10,102,0,123,0.44,41,47,6,86.6,Good,149,0.32154927877653305,386,0.12765957175192402
TX_65,0,693,50600,43,68,2770,4,91,0,180,1.15,44,52,10,85.8,Good,138,0.34058234447122604,206,0.19230768860946754
TX_66,28,9950,47300,16,245,1290,0,3,0,47.5,0.9,44,49,4,93.8,Excellent,19,0.22910135231700232,292,0.08163265139525201
TX_67,25,15500,50700,3,267,1180,0,0,0,27,1,43,43,4,93.8,Excellent,3,0.24186864466347385,295,0.09302325365062201
TX_68,25,508,54500,12,317,2750,4,14,0,0,0.65,45,56,4,96,Excellent,30,0.15184538283114643,372,0.07142857015306125
